trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,16,2,128,4096,write-allocate,write-through,lru,318197,197486,300564,17633,193673,3813,515683,0.055415355895875824,0.019307697760853934,0.041587564453356034,88891483,172.37621368166103
traces/gcc.trace,8,4,128,4096,no-write-allocate,write-through,fifo,318197,197486,299569,18628,168810,28676,515683,0.05854234955075001,0.1452052297378042,0.09173077258703506,79873883,154.8895018839093
traces/gcc.trace,8,4,128,4096,no-write-allocate,write-through,lru,318197,197486,303187,15010,170694,26792,515683,0.04717203493433313,0.13566531298421153,0.08106142727218078,68296283,132.4385000087263
traces/gcc.trace,8,4,128,4096,write-allocate,write-back,fifo,318197,197486,299562,18635,193354,4132,515683,0.05856434850108581,0.020923002136860335,0.04414921570034304,100784483,195.43883160779006
traces/gcc.trace,8,4,128,4096,write-allocate,write-back,lru,318197,197486,303227,14970,193986,3500,515683,0.0470463266467,0.01772277528533668,0.03581657723834216,80797283,156.68013682824525
traces/gcc.trace,8,4,128,4096,write-allocate,write-through,fifo,318197,197486,299562,18635,193354,4132,515683,0.05856434850108581,0.020923002136860335,0.04414921570034304,93118683,180.57349767201944
traces/gcc.trace,8,4,128,4096,write-allocate,write-through,lru,318197,197486,303227,14970,193986,3500,515683,0.0470463266467,0.01772277528533668,0.03581657723834216,79368283,153.90905459361662
traces/gcc.trace,4,8,128,4096,no-write-allocate,write-through,fifo,318197,197486,305612,12585,170626,26860,515683,0.039550969996574446,0.13600964118975523,0.0764907898844833,60536283,117.3904957115127
traces/gcc.trace,4,8,128,4096,no-write-allocate,write-through,lru,318197,197486,307977,10220,172393,25093,515683,0.032118467490265465,0.12706217149570095,0.06847811543137935,52968283,102.71481317010644
traces/gcc.trace,4,8,128,4096,write-allocate,write-back,fifo,318197,197486,305794,12403,194230,3256,515683,0.038978997287843695,0.01648724466544464,0.030365554032225222,70362083,136.44444940011596
traces/gcc.trace,4,8,128,4096,write-allocate,write-back,lru,318197,197486,308247,9950,194781,2705,515683,0.031269936548741814,0.013697173470524493,0.024540269894489444,55798883,108.20384422212871
traces/gcc.trace,4,8,128,4096,write-allocate,write-through,fifo,318197,197486,305794,12403,194230,3256,515683,0.038978997287843695,0.01648724466544464,0.030365554032225222,70373083,136.46578033404242
traces/gcc.trace,4,8,128,4096,write-allocate,write-through,lru,318197,197486,308247,9950,194781,2705,515683,0.031269936548741814,0.013697173470524493,0.024540269894489444,60760283,117.82487109328792
traces/gcc.trace,2,16,128,4096,no-write-allocate,write-through,fifo,318197,197486,306138,12059,170701,26785,515683,0.03789790601419875,0.13562986743364086,0.07532534522177384,58853083,114.12647498560162
traces/gcc.trace,2,16,128,4096,no-write-allocate,write-through,lru,318197,197486,308484,9713,172841,24645,515683,0.030525114944515503,0.12479365625917786,0.0666262025314001,51345883,99.56869433353437
traces/gcc.trace,2,16,128,4096,write-allocate,write-back,fifo,318197,197486,306273,11924,194304,3182,515683,0.03747364054343693,0.016112534559411806,0.029293189808467606,68179683,132.2123921091058
traces/gcc.trace,2,16,128,4096,write-allocate,write-back,lru,318197,197486,308642,9555,194940,2546,515683,0.03002856720836463,0.012892053107562055,0.023465966494920328,52934883,102.65004469800246
traces/gcc.trace,2,16,128,4096,write-allocate,write-through,fifo,318197,197486,306273,11924,194304,3182,515683,0.03747364054343693,0.016112534559411806,0.029293189808467606,68603483,133.03421481801806
traces/gcc.trace,2,16,128,4096,write-allocate,write-through,lru,318197,197486,308642,9555,194940,2546,515683,0.03002856720836463,0.012892053107562055,0.023465966494920328,58987483,114.38710021466676
